symbol,calculation
7UP,0.0
AAI,152070.0
AAI-R,0.0
AAV,-3016080.0
AAV-R,-384916.0
ACC,8695.0
ACE,-24011.999999999996
ACE-R,0.0
ADVANC,-24658200.0
ADVANC-R,-84354152.0
AEONTS,-275400.0
AEONTS-R,-513825.0
AGE,0.0
AGE-R,0.0
AH,-673960.0
AH-R,1414094.0
AI,-43382.0
AIE,-1512.0
AIT,-41952.0
AKR,-243800.0
AMATA,985360.0000000001
AMATA-R,-932447.9
AMATAV,0.0
AOT,-9436350.0
AOT-R,92433180.0
AP,6988200.0
AP-R,23113350.0
AS,0.0
ASIAN,175680.0
ASK,588800.0
ASK-R,0.0
ASML01,0.0
ASP,44156.0
ASW,0.0
AU,-8370.0
AU-R,0.0
AUCT,-11690.0
AUCT-R,-292934.0
AURA,0.0
AURA-R,179310.0
AWC,3105114.0
AWC-R,-34231512.0
AYUD,25725.0
BA,-532560.0
BA-R,-50435.0
BAFS,614460.0
BAFS-R,97618.5
BAM,-714615.0
BAM-R,265500.0
BANPU,10642760.0
BANPU-R,62271359.99999999
BAY,0.0
BAY-R,0.0
BBGI,-491000.0
BBGI-R,0.0
BBIK,-221250.0
BBIK-R,1291910.0
BBL,-68235100.0
BBL-R,-17272115.0
BCH,1318560.0
BCH-R,-8866773.0
BCP,-8402625.0
BCP-R,18327386.0
BCPG,500940.0
BCPG-R,0.0
BDMS,24418000.0
BDMS-R,-18435200.0
BEAUTY,-81618.0
BEAUTY-R,114480.0
BEC,-212940.0
BEC-R,13024.0
BEM,-2750279.9999999995
BEM-R,101578050.0
BGC,-44800.0
BGRIM,3942750.0
BGRIM-R,-6042317.0
BH,-2794000.0
BH-R,35773800.0
BJC,-4264725.0
BJC-R,-6752620.000000001
BKI,29300.0
BLA,-2694000.0
BLA-R,2074800.0
BLAND,0.0
BLAND-R,0.0
BMSCITH,0.0
BOL,-60955.0
BPP,-58220.0
BPP-R,-17280.0
BRI,32329.999999999996
BSRC,109619.99999999999
BSRC-R,381929.99999999994
BTG,-9400.0
BTG-R,0.0
BTS,717970.0
BTS-R,-31260460.0
BYD,2129270.0
BYD-R,97425.0
CBG,-1252900.0
CBG-R,-14974500.0
CCET,0.0
CCET-R,167872.0
CENTEL,853125.0
CENTEL-R,-224420.0
CHAYO,33884.0
CHG,171100.0
CHG-R,305013.0
CHINA,0.0
CK,906400.0
CK-R,3206000.0
CKP,-15219122.0
CKP-R,187856.0
CN01,0.0
