symbol,difference,calculation
7UP,0,0.0
AAI,27400,152070.0
AAI-R,0,0.0
AAV,-1278000,-3016080.0
AAV-R,-163100,-384916.0
ACC,18500,8695.0
ACE,-17400,-24012.0
ACE-R,0,0.0
ADVANC,-119700,-24658200.0
ADVANC-R,-379700,-84354152.0
AEONTS,-1700,-275400.0
AEONTS-R,-3100,-513825.0
AGE,0,0.0
AGE-R,0,0.0
AH,-33200,-673960.0
AH-R,41800,1414094.0
AI,-10900,-43382.0
AIE,-1200,-1512.0
AIT,-9200,-41952.0
AKR,-243800,-243800.0
AMATA,43600,985360.0
AMATA-R,-41077,-932447.9
AMATAV,0,0.0
AOT,-141900,-9436350.0
AOT-R,1307400,92433180.0
AP,735600,6988200.0
AP-R,1975500,23113350.0
AS,0,0.0
ASIAN,18300,175680.0
ASK,36800,588800.0
ASK-R,0,0.0
ASML01,0,0.0
ASP,16600,44156.0
ASW,0,0.0
AU,-900,-8370.0
AU-R,0,0.0
AUCT,-1400,-11690.0
AUCT-R,-29800,-292934.0
AURA,0,0.0
AURA-R,13900,179310.0
AWC,728900,3105114.0
AWC-R,-7709800,-34231512.0
AYUD,700,25725.0
BA,-31700,-532560.0
BA-R,-3500,-50435.0
BAFS,26600,614460.0
BAFS-R,3099,97618.5
BAM,-78100,-714615.0
BAM-R,17700,265500.0
BANPU,1952800,10642760.0
BANPU-R,6828000,62271359.99999999
BAY,0,0.0
BAY-R,0,0.0
BBGI,-98200,-491000.0
BBGI-R,0,0.0
BBIK,-5000,-221250.0
BBIK-R,20500,1291910.0
BBL,-490900,-68235100.0
BBL-R,-108500,-17272115.0
BCH,65600,1318560.0
BCH-R,-500100,-8866773.0
BCP,-203700,-8402625.0
BCP-R,477400,18327386.0
BCPG,75900,500940.0
BCPG-R,0,0.0
BDMS,842000,24418000.0
BDMS-R,-658400,-18435200.0
BEAUTY,-133800,-81618.0
BEAUTY-R,216000,114480.0
BEC,-45500,-212940.0
BEC-R,1600,13024.0
BEM,-335400,-2750279.9999999995
BEM-R,2149800,101578050.0
BGC,-6400,-44800.0
BGRIM,150200,3942750.0
BGRIM-R,-169300,-6042317.0
BH,-11000,-2794000.0
BH-R,164100,35773800.0
BJC,-168900,-4264725.0
BJC-R,-194600,-6752620.000000001
BKI,100,29300.0
BLA,-134700,-2694000.0
BLA-R,84000,2074800.0
BLAND,0,0.0
BLAND-R,0,0.0
BMSCITH,0,0.0
BOL,-7300,-60955.0
BPP,-4100,-58220.0
BPP-R,-1200,-17280.0
BRI,5300,32330.0
BSRC,12600,109620.0
BSRC-R,43900,381930.0
BTG,-400,-9400.0
BTG-R,0,0.0
BTS,117700,717970.0
BTS-R,-4059800,-31260460.0
BYD,744500,2129270.0
BYD-R,22500,97425.0
CBG,-18700,-1252900.0
CBG-R,-223500,-14974500.0
CCET,0,0.0
CCET-R,97600,167872.0
CENTEL,19500,853125.0
CENTEL-R,-4900,-224420.0
CHAYO,8600,33884.0
CHG,59000,171100.0
CHG-R,104100,305013.0
CHINA,0,0.0
CK,41200,906400.0
CK-R,160300,3206000.0
CKP,-3823900,-15219122.0
CKP-R,47200,187856.0
CN01,0,0.0
CNTECH01,25675,608497.5
COCOCO,2800,37800.0
COM7,-262600,-5120700.0
COM7-R,702700,23013425.0
CPALL,-80600,-4755400.0
CPALL-R,5872400,371429300.0
CPAXT,1046700,32709375.0
CPAXT-R,3643500,113859375.0
CPF,-185600,-3804800.0
CPF-R,-1516600,-29573700.0
CPN,234800,14675000.0
CPN-R,1099300,72278975.0
CRC,364700,11214525.0
CRC-R,1532600,60154550.0
CV,-977600,-391040.0
DCC,0,0.0
DCC-R,-696600,-1393200.0
DELTA,-96200,-6902350.0
DELTA-R,-413400,-41009280.0
DEMCO,-2500,-10049.999999999998
DITTO,0,0.0
DITTO-R,-12300,-367278.0
DMT,39200,466480.0
DMT-R,0,0.0
DOHOME,21800,246340.00000000003
DOHOME-R,2700,30510.000000000004
DRT,-3600,-29160.0
