symbol,difference,calculation
S-R,-300,-393.0
AIE,-1200,-1512.0
NYT,-600,-2496.0
SCN,-4400,-4664.0
PR9-R,-300,-5670.0
AU,-900,-8370.0
RAM-R,-200,-8506.0
BTG,-400,-9400.0
SCAP,-3600,-9720.0
DEMCO,-2500,-10049.999999999998
AUCT,-1400,-11690.0
SINGER,-1400,-13929.999999999998
TPIPL,-11600,-15660.000000000002
SHR,-7400,-17020.0
BPP-R,-1200,-17280.0
UVAN,-2300,-19435.0
SJWD-R,-902,-19844.0
SIS,-900,-22725.0
ACE,-17400,-24012.0
SISB-R,-700,-26215.000000000004
DRT,-3600,-29160.0
SNNP-R,-1600,-37424.0
XPG,-31200,-39000.0
SNNP,-2500,-40250.0
HUMAN,-3800,-41040.0
AIT,-9200,-41952.0
MDX,-10900,-42292.0
AI,-10900,-43382.0
SCCC-R,-300,-43950.0
BGC,-6400,-44800.0
BA-R,-3500,-50435.0
KEX,-11900,-51170.0
BPP,-4100,-58220.0
STANLY-R,-300,-58800.0
PM,-7100,-58930.00000000001
BOL,-7300,-60955.0
III-R,-8500,-70975.0
TIPH-R,-1900,-80731.0
BEAUTY,-133800,-81618.0
SCCC,-700,-97300.0
SUSCO-R,-30400,-105792.0
WHAUP,-26400,-106128.0
SAT,-7500,-119250.0
SAMART-R,-20200,-120998.0
PSH-R,-9800,-126518.0
M,-3800,-135850.0
TCAP-R,-2900,-143405.0
WHAUP-R,-44000,-156640.0
WARRIX,-29100,-164415.0
UBE,-202000,-173720.0
TKC-R,-11500,-179400.0
TQM-R,-7900,-204057.0
SAMART,-31900,-208945.0
BEC,-45500,-212940.0
BBIK,-5000,-221250.0
CENTEL-R,-4900,-224420.0
LANNA,-16400,-229600.0
TPIPP,-71100,-234630.0
AKR,-243800,-243800.0
KCG,-27100,-262870.0
TTW-R,-31800,-271890.0
AEONTS,-1700,-275400.0
SPCG-R,-23500,-292340.0
AUCT-R,-29800,-292934.0
VIBHA,-137800,-308672.00000000006
SC,-95500,-338070.0
ITD,-500000,-355000.0
SPA,-45100,-360800.0
DITTO-R,-12300,-367278.0
AAV-R,-163100,-384916.0
MASTER,-6800,-385900.0
ONEE,-96000,-387840.0
CV,-977600,-391040.0
SJWD,-30000,-408000.0
MEGA,-10300,-417150.0
BBGI,-98200,-491000.0
AEONTS-R,-3100,-513825.0
BA,-31700,-532560.0
KTB-R,-27100,-533870.0
TTW,-61300,-551700.0
PTG-R,-59700,-614313.0
AH,-33200,-673960.0
PRM-R,-103900,-683662.0
ROJNA,-94300,-693105.0
BAM,-78100,-714615.0
TTA-R,-108900,-726363.0
SAPPE,-8700,-824325.0
ICHI,-49600,-892800.0
RBF-R,-88700,-928689.0
AMATA-R,-41077,-932447.9
EPG,-141700,-949390.0
PSL,-100000,-955000.0
NRF,-192300,-957654.0
TASCO-R,-57000,-1024290.0
CBG,-18700,-1252900.0
DCC-R,-696600,-1393200.0
FORTH-R,-52900,-1429887.0
TISCO-R,-15800,-1532600.0
WHA-R,-357200,-1735992.0
TKN,-156900,-1757280.0
PLANB,-223600,-1811160.0
KKP,-35000,-1846250.0
HMPRO,-183200,-1850320.0
RBF,-198400,-2063360.0
TOP-R,-44800,-2072000.0
KTC,-48000,-2088000.0
SPALI,-115400,-2238760.0
TCAP,-47400,-2322600.0
PLANB-R,-289500,-2376795.0000000005
GFPT,-183900,-2390700.0
TRUE,-294300,-2530980.0
MASTER-R,-45000,-2553750.0
KKP-R,-41600,-2620800.0
THANI-R,-896400,-2635416.0
TOA-R,-96000,-2639040.0
BLA,-134700,-2694000.0
BEM,-335400,-2750279.9999999995
BH,-11000,-2794000.0
TU,-186300,-2794500.0
TISCO,-30100,-2927225.0
AAV,-1278000,-3016080.0
SPRC-R,-377100,-3050739.0
EGCO,-28100,-3147200.0
SCGP,-102400,-3174400.0
GULF,-78400,-3253600.0
STEC,-363200,-3468560.0000000005
GPSC,-75000,-3768750.0
CPF,-185600,-3804800.0
BJC,-168900,-4264725.0
VGI,-2681700,-4451622.0
SCC,-19100,-4736800.0
CPALL,-80600,-4755400.0
COM7,-262600,-5120700.0
SPRC,-687800,-5433620.0
BGRIM-R,-169300,-6042317.0
RCL,-261200,-6112080.0
BJC-R,-194600,-6752620.000000001
DELTA,-96200,-6902350.0
TIDLOR,-333218,-7164187.0
TASCO,-478100,-7649600.0
SCB,-77600,-8380800.0
BCP,-203700,-8402625.0
BCH-R,-500100,-8866773.0
OR-R,-439400,-9253764.0
GLOBAL-R,-610600,-9384922.0
AOT,-141900,-9436350.0
ITC,-455800,-9480640.0
SAWAD,-333000,-12737250.0
OSP-R,-459100,-12928256.0
TOP,-249100,-13326850.0
TIDLOR-R,-628200,-14140782.000000002
CBG-R,-223500,-14974500.0
CKP,-3823900,-15219122.0
BBL-R,-108500,-17272115.0
SAWAD-R,-419100,-18348198.0
BDMS-R,-658400,-18435200.0
IVL,-786600,-18485100.0
ADVANC,-119700,-24658200.0
EA-R,-452100,-25430625.0
SCB-R,-268200,-29354490.0
CPF-R,-1516600,-29573700.0
EGCO-R,-222100,-29872450.0
BTS-R,-4059800,-31260460.0
LH,-4502300,-31966330.0
PTT-R,-934600,-32271738.0
AWC-R,-7709800,-34231512.0
TU-R,-2877900,-37441479.0
LH-R,-4584300,-39058236.0
DELTA-R,-413400,-41009280.0
MTC-R,-1239900,-43396500.0
KBANK-R,-497900,-65722800.0
TRUE-R,-9759600,-67048452.0
BBL,-490900,-68235100.0
ADVANC-R,-379700,-84354152.0
