symbol,difference
7UP,0
AAI,27400
AAI-R,0
AAV,-1278000
AAV-R,-163100
ACC,18500
ACE,-17400
ACE-R,0
ADVANC,-119700
ADVANC-R,-379700
AEONTS,-1700
AEONTS-R,-3100
AGE,0
AGE-R,0
AH,-33200
AH-R,41800
AI,-10900
AIE,-1200
AIT,-9200
AKR,-243800
AMATA,43600
AMATA-R,-41077
AMATAV,0
AOT,-141900
AOT-R,1307400
AP,735600
AP-R,1975500
AS,0
ASIAN,18300
ASK,36800
ASK-R,0
ASML01,0
ASP,16600
ASW,0
AU,-900
AU-R,0
AUCT,-1400
AUCT-R,-29800
AURA,0
AURA-R,13900
AWC,728900
AWC-R,-7709800
AYUD,700
BA,-31700
BA-R,-3500
BAFS,26600
BAFS-R,3099
BAM,-78100
BAM-R,17700
BANPU,1952800
BANPU-R,6828000
BAY,0
BAY-R,0
BBGI,-98200
BBGI-R,0
BBIK,-5000
BBIK-R,20500
BBL,-490900
BBL-R,-108500
BCH,65600
BCH-R,-500100
BCP,-203700
BCP-R,477400
BCPG,75900
BCPG-R,0
BDMS,842000
BDMS-R,-658400
BEAUTY,-133800
BEAUTY-R,216000
BEC,-45500
BEC-R,1600
BEM,-335400
BEM-R,2149800
BGC,-6400
BGRIM,150200
BGRIM-R,-169300
BH,-11000
BH-R,164100
BJC,-168900
BJC-R,-194600
BKI,100
BLA,-134700
BLA-R,84000
BLAND,0
BLAND-R,0
BMSCITH,0
BOL,-7300
BPP,-4100
BPP-R,-1200
BRI,5300
BSRC,12600
BSRC-R,43900
BTG,-400
BTG-R,0
BTS,117700
BTS-R,-4059800
BYD,744500
BYD-R,22500
CBG,-18700
CBG-R,-223500
CCET,0
CCET-R,97600
CENTEL,19500
CENTEL-R,-4900
CHAYO,8600
CHG,59000
CHG-R,104100
CHINA,0
CK,41200
CK-R,160300
CKP,-3823900
CKP-R,47200
CN01,0
CNTECH01,25675
COCOCO,2800
COM7,-262600
COM7-R,702700
CPALL,-80600
CPALL-R,5872400
CPAXT,1046700
CPAXT-R,3643500
CPF,-185600
CPF-R,-1516600
CPN,234800
CPN-R,1099300
CRC,364700
CRC-R,1532600
CV,-977600
DCC,0
DCC-R,-696600
DELTA,-96200
DELTA-R,-413400
DEMCO,-2500
DITTO,0
DITTO-R,-12300
DMT,39200
DMT-R,0
DOHOME,21800
DOHOME-R,2700
DRT,-3600
DRT-R,0
DUSIT,0
E1VFVN3001,0
EA,96700
EA-R,-452100
EASTW,14200
EASTW-R,0
EGCO,-28100
EGCO-R,-222100
EKH,462400
EPG,-141700
EPG-R,117200
ERW,136700
ERW-R,71400
ETC,0
FORTH,800
FORTH-R,-52900
FSMART,0
FSMART-R,0
FUEVFVND01,0
GFPT,-183900
GFPT-R,253300
GJS,0
GLOBAL,105300
GLOBAL-R,-610600
GPSC,-75000
GPSC-R,128500
GREEN,0
GULF,-78400
GULF-R,424800
GUNKUL,712200
GUNKUL-R,702200
HANA,8800
HANA-R,186800
HENG,125300
HK01,486833
HK13,0
HKCE01,0
HKTECH13,0
HMPRO,-183200
HMPRO-R,770100
HTC,3900
HUMAN,-3800
ICC,500
ICHI,-49600
ICHI-R,198400
III,43900
III-R,-8500
ILM-R,1900
INTUCH,4600
INTUCH-R,31800
IRPC,1126000
IRPC-R,2583700
ITC,-455800
ITC-R,208900
ITD,-500000
ITD-R,44400
IVL,-786600
IVL-R,2621600
JAPAN13,0
JAS,1038300
JAS-R,419600
JMART,282000
JMART-R,195100
JMT,848400
JMT-R,1036600
JR,0
JTS,3600
JTS-R,0
KAMART,94000
KBANK,53800
KBANK-R,-497900
KBSPIF,0
KCE,239500
KCE-R,136500
KCG,-27100
KCG-R,0
KEX,-11900
KEX-R,400
KGI,13600
KKP,-35000
KKP-R,-41600
KSL,68100
KSL-R,52900
KTB,16600
KTB-R,-27100
KTC,-48000
KTC-R,426300
KYE,0
LALIN,0
LANNA,-16400
LANNA-R,0
LH,-4502300
LH-R,-4584300
LPN,0
LPN-R,0
LVMH01,838
M,-3800
M-CHAI,900
M-R,800
MAJOR,35100
MAJOR-R,72100
MASTER,-6800
MASTER-R,-45000
MBK,149700
MBK-R,113100
MC,200
MC-R,28000
MDX,-10900
MEB-R,0
MEGA,-10300
MEGA-R,0
MGC-R,0
MINT,156700
MINT-R,1270300
MOSHI,0
MTC,695600
MTC-R,-1239900
MTI,600
NDX01,0
NER,156600
NER-R,162800
NEX,2400
NEX-R,15300
NOBLE,32300
NRF,-192300
NRF-R,0
NSL,0
NTV,0
NUSA-R,0
NYT,-600
NYT-R,0
ONEE,-96000
ONEE-R,163500
OR,1115300
OR-R,-439400
ORI,1106800
ORI-R,32700
OSP,59800
OSP-R,-459100
PLANB,-223600
PLANB-R,-289500
PLAT,0
PLAT-R,0
PM,-7100
PR9,27700
PR9-R,-300
PRM,110000
PRM-R,-103900
PSH,229000
PSH-R,-9800
PSL,-100000
PSL-R,201300
PTG,32700
PTG-R,-59700
PTL,2900
PTL-R,0
PTT,224000
PTT-R,-934600
PTTEP,81800
PTTEP-R,398900
PTTGC,48000
PTTGC-R,421800
QH,650400
QH-R,436700
RABBIT,0
RAM,0
RAM-R,-200
RATCH,43600
RATCH-R,5300
RBF,-198400
RBF-R,-88700
RCL,-261200
RCL-R,364600
RJH,2500
RJH-R,0
ROJNA,-94300
ROJNA-R,0
RS,0
RS-R,17300
S,221400
S-R,-300
SABINA,66500
SABINA-R,26400
SABUY,0
SABUY-R,0
SAFE-R,2000
SAK,5100
SAMART,-31900
SAMART-R,-20200
SAPPE,-8700
SAPPE-R,12000
SAT,-7500
SAT-R,229100
SAV,5000
SAWAD,-333000
SAWAD-R,-419100
SC,-95500
SC-R,14800
SCAP,-3600
SCB,-77600
SCB-R,-268200
SCC,-19100
SCC-R,123100
SCCC,-700
SCCC-R,-300
SCGD-R,0
