symbol,difference,calculation
CPALL-R,5872400,371429300.0
CPAXT-R,3643500,113859375.0
BEM-R,2149800,101578050.0
AOT-R,1307400,92433180.0
IVL-R,2621600,90130608.0
SCGP-R,1891700,74381644.0
CPN-R,1099300,72278975.0
BANPU-R,6828000,62271359.99999999
PTTEP-R,398900,61713819.0
CRC-R,1532600,60154550.0
MINT-R,1270300,41958009.0
SCC-R,123100,40007500.0
JMT-R,1036600,37120646.0
BH-R,164100,35773800.0
MTC,695600,33388800.0
CPAXT,1046700,32709375.0
BDMS,842000,24418000.0
AP-R,1975500,23113350.0
COM7-R,702700,23013425.0
OR,1115300,20298460.0
GULF-R,424800,20178000.0
KTC-R,426300,19984944.0
BCP-R,477400,18327386.0
PTTGC-R,421800,16424891.999999998
JMT,848400,15949920.0
STA-R,892400,15376052.0
CPN,234800,14675000.0
PTTEP,81800,12556300.0
CRC,364700,11214525.0
BANPU,1952800,10642760.0
HMPRO-R,770100,10550370.0
KCE,239500,9160875.0
HANA-R,186800,8985080.0
HK01,486833,8811677.3
RCL-R,364600,8779568.0
PTT,224000,7560000.0
KBANK,53800,7182300.0
ORI,1106800,7138860.0
AP,735600,6988200.0
GPSC-R,128500,6714125.0
IRPC-R,2583700,6045858.0
STA,353600,5869760.000000001
KCE-R,136500,5345340.0
MINT,156700,5171100.0
STEC-R,481400,4631068.0
ITC-R,208900,4345120.0
SAT-R,229100,4309371.0
BGRIM,150200,3942750.0
JMART,282000,3750600.0
EKH,462400,3352400.0
JAS,1038300,3301794.0
TTB,1858100,3270256.0
CK-R,160300,3206000.0
SKY-R,134700,3184308.0
GFPT-R,253300,3168783.0
JMART-R,195100,3107943.0
AWC,728900,3105114.0
EA,96700,2852650.0
ICHI-R,198400,2749824.0
PSH,229000,2610600.0
MBK,149700,2604780.0
TTB-R,1396400,2457664.0
GUNKUL-R,702200,2247040.0
INTUCH-R,31800,2194200.0
IRPC,1126000,2161920.0
BYD,744500,2129270.0
BLA-R,84000,2074800.0
PSL-R,201300,1860012.0
GUNKUL,712200,1851720.0
MBK-R,113100,1826565.0
TLI,193100,1786175.0
PTTGC,48000,1716000.0
GLOBAL,105300,1684800.0
SABINA,66500,1649200.0
THCOM-R,121300,1501694.0
KAMART,94000,1438200.0
TKN-R,128900,1421767.0
AH-R,41800,1414094.0
QH,650400,1378848.0
JAS-R,419600,1334328.0
BCH,65600,1318560.0
