symbol,current_value
7UP.BK,0.34
AAI.BK,5.55
AAI-R.BK,5.55
AAV.BK,2.36
AAV-R.BK,2.36
ACC.BK,0.47
ACE.BK,1.38
ACE-R.BK,1.88
ADVANC.BK,206.0
ADVANC-R.BK,222.16
AEONTS.BK,162.0
AEONTS-R.BK,165.75
AGE.BK,1.88
AGE-R.BK,2.61
AH.BK,20.3
AH-R.BK,33.83
AI.BK,3.98
AIE.BK,1.26
AIT.BK,4.56
AKR.BK,1.0
AMATA.BK,22.6
AMATA-R.BK,22.7
AMATAV.BK,5.5
AOT.BK,66.5
AOT-R.BK,70.7
AP.BK,9.5
AP-R.BK,11.7
AS.BK,4.92
ASIAN.BK,9.6
ASK.BK,16.0
ASK-R.BK,25.31
ASML01.BK,28.25
ASP.BK,2.66
ASW.BK,8.0
AU.BK,9.3
AU-R.BK,10.1
AUCT.BK,8.35
AUCT-R.BK,9.83
AURA.BK,12.9
AURA-R.BK,12.9
AWC.BK,4.26
AWC-R.BK,4.44
AYUD.BK,36.75
BA.BK,16.8
BA-R.BK,14.41
BAFS.BK,23.1
BAFS-R.BK,31.5
BAM.BK,9.15
BAM-R.BK,15.0
BANPU.BK,5.45
BANPU-R.BK,9.12
BAY.BK,26.25
BAY-R.BK,31.33
BBGI.BK,5.0
BBGI-R.BK,5.0
BBIK.BK,44.25
BBIK-R.BK,63.02
BBL.BK,139.0
BBL-R.BK,159.19
BCH.BK,20.1
BCH-R.BK,17.73
BCP.BK,41.25
BCP-R.BK,38.39
BCPG.BK,6.6
BCPG-R.BK,9.51
BDMS.BK,29.0
BDMS-R.BK,28.0
BEAUTY.BK,0.61
BEAUTY-R.BK,0.53
BEC.BK,4.68
BEC-R.BK,8.14
BEM.BK,8.2
BEM-R.BK,47.25
BGC.BK,7.0
BGRIM.BK,26.25
BGRIM-R.BK,35.69
BH.BK,254.0
BH-R.BK,218.0
BJC.BK,25.25
BJC-R.BK,34.7
BKI.BK,293.0
BLA.BK,20.0
BLA-R.BK,24.7
BLAND.BK,0.68
BLAND-R.BK,1.05
BMSCITH.BK,9.79
BOL.BK,8.35
BPP.BK,14.2
BPP-R.BK,14.4
BRI.BK,6.1
BSRC.BK,8.7
BSRC-R.BK,8.7
BTG.BK,23.5
BTG-R.BK,23.5
BTS.BK,6.1
BTS-R.BK,7.7
BYD.BK,2.86
BYD-R.BK,4.33
CBG.BK,67.0
CBG-R.BK,67.0
CCET.BK,2.58
CCET-R.BK,1.72
CENTEL.BK,43.75
CENTEL-R.BK,45.8
CHAYO.BK,3.94
CHG.BK,2.9
CHG-R.BK,2.93
CHINA.BK,6.03
CK.BK,22.0
CK-R.BK,20.0
CKP.BK,3.98
CKP-R.BK,3.98
CN01.BK,19.3
CNTECH01.BK,23.7
COCOCO.BK,13.5
COM7.BK,19.5
COM7-R.BK,32.75
CPALL.BK,59.0
CPALL-R.BK,63.25
CPAXT.BK,31.25
CPAXT-R.BK,31.25
CPF.BK,20.5
CPF-R.BK,19.5
CPN.BK,62.5
CPN-R.BK,65.75
CRC.BK,30.75
CRC-R.BK,39.25
CV.BK,0.4
DCC.BK,1.84
DCC-R.BK,2.0
DELTA.BK,71.75
DELTA-R.BK,99.2
DEMCO.BK,4.02
DITTO.BK,21.2
DITTO-R.BK,29.86
DMT.BK,11.9
DMT-R.BK,13.2
DOHOME.BK,11.3
DOHOME-R.BK,11.3
DRT.BK,8.1
DRT-R.BK,8.07
DUSIT.BK,9.65
E1VFVN3001.BK,31.75
EA.BK,29.5
EA-R.BK,56.25
EASTW.BK,3.46
EASTW-R.BK,4.32
EGCO.BK,112.0
EGCO-R.BK,134.5
EKH.BK,7.25
EPG.BK,6.7
EPG-R.BK,6.73
ERW.BK,4.86
ERW-R.BK,4.54
ETC.BK,2.34
FORTH.BK,16.8
FORTH-R.BK,27.03
FSMART.BK,6.1
FSMART-R.BK,8.61
FUEVFVND01.BK,45.25
GFPT.BK,13.0
GFPT-R.BK,12.51
GJS.BK,0.23
GLOBAL.BK,16.0
GLOBAL-R.BK,15.37
GPSC.BK,50.25
GPSC-R.BK,52.25
GREEN.BK,1.14
GULF.BK,41.5
GULF-R.BK,47.5
GUNKUL.BK,2.6
GUNKUL-R.BK,3.2
HANA.BK,39.0
HANA-R.BK,48.1
HENG.BK,1.62
HK01.BK,18.1
HK13.BK,4.54
HKCE01.BK,21.3
